@RELATION drive
@ATTRIBUTE Velocity NUMERIC
@ATTRIBUTE LateralVelocity NUMERIC
@ATTRIBUTE LaneOffset NUMERIC
@ATTRIBUTE LatAcc NUMERIC
@ATTRIBUTE LonAcc NUMERIC
@ATTRIBUTE HeadingError NUMERIC
@ATTRIBUTE Lane NUMERIC
@ATTRIBUTE previousSteer NUMERIC
@ATTRIBUTE previousThrottle NUMERIC
@ATTRIBUTE previousBrake NUMERIC
@ATTRIBUTE stopDelay NUMERIC
@ATTRIBUTE STOP NUMERIC
@ATTRIBUTE SpeedLimit NUMERIC
@ATTRIBUTE IntersectionLeftTurn NUMERIC
@ATTRIBUTE IntersectionRightTurn NUMERIC
@ATTRIBUTE IntersectionLeftIntersection NUMERIC
@ATTRIBUTE IntersectionRightIntersection NUMERIC
@ATTRIBUTE LightDistance NUMERIC
@ATTRIBUTE LightStatus NUMERIC
@ATTRIBUTE DistanceOfNextTurn NUMERIC
@ATTRIBUTE AngleOfNextTurn NUMERIC
@ATTRIBUTE DistanceOfLastTurn NUMERIC
@ATTRIBUTE AngleOfLastTurn NUMERIC
@ATTRIBUTE OtherVehicleRay1_D NUMERIC
@ATTRIBUTE OtherVehicleRay1_DeltaV NUMERIC
@ATTRIBUTE OtherVehicleRay2_D NUMERIC
@ATTRIBUTE OtherVehicleRay2_DeltaV NUMERIC
@ATTRIBUTE OtherVehicleRay3_D NUMERIC
@ATTRIBUTE OtherVehicleRay3_DeltaV NUMERIC
@ATTRIBUTE OtherVehicleRay4_D NUMERIC
@ATTRIBUTE OtherVehicleRay4_DeltaV NUMERIC
@ATTRIBUTE Steer NUMERIC
@ATTRIBUTE Brake NUMERIC
@ATTRIBUTE Throttle NUMERIC
@DATA
0.015141,-6.5E-5,0.0,-6.7E-4,0.150981,1.5707998349066932,0.0,0.0,0.0,0.0,5.77915,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.9701878038663,6.99999953831504,300.0,0.0,300.0,0.0,145.645662,-0.0034847569468541583,300.0,0.0,300.0,0.0,-0.21339,0.0,0.0
0.262822,-0.001335,0.0,-0.001056,0.32519,1.5707287825528442,0.0,-0.377966,0.0,0.0,6.19623,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.9695994408576,6.99999953831504,300.0,0.0,300.0,0.0,145.640865,-0.06047287700917449,300.0,0.0,300.0,0.0,-0.339331,0.0,0.833771
0.723979,-0.001955,0.0,3.37E-4,0.555743,1.5705206345862517,0.0,-0.217711,0.0,0.0,6.61331,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.9675324571242,6.99999953831504,300.0,0.0,300.0,0.0,145.620026,-0.16630820642597377,300.0,0.0,300.0,0.0,-0.179997,0.0,3.740891
2.791149,-0.004684,0.0,-0.006433,2.799157,1.5702010473469188,0.0,-0.116645,11.318467,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.9613796790643,6.99999953831504,300.0,0.0,300.0,0.0,145.555567,-0.6369638048644791,300.0,0.0,300.0,0.0,-0.117932,0.0,11.461441
5.20076,-0.014378,0.0,-0.022914,2.371628,1.5692522514589498,0.0,-0.188151,11.556756,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.9453347310957,6.99999953831504,300.0,0.0,300.0,0.0,145.388201,-1.1668068899702155,300.0,0.0,300.0,0.0,-0.209144,0.0,11.556756
7.271082,-0.025435,0.0,-0.029973,1.970249,1.5668041653836398,0.0,-0.260364,11.556756,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.9168718646972,6.99999953831504,300.0,0.0,300.0,0.0,145.118789,-1.59163094350953,300.0,0.0,300.0,0.0,-0.263854,0.0,11.556756
8.89082,-0.029484,0.0,-0.035836,1.684091,1.5636471440194626,0.0,-0.257781,11.556756,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.880112203585,6.99999953831504,300.0,0.0,300.0,0.0,144.804011,-1.889643297764138,300.0,0.0,300.0,0.0,-0.255927,0.0,11.556756
10.391451,-0.031338,0.0,-0.043392,1.434414,1.559766770946796,0.0,-0.245536,11.556756,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.8290557324697,6.99999953831504,300.0,0.0,300.0,0.0,144.410689,-2.1202289899060482,300.0,0.0,300.0,0.0,-0.241514,0.0,11.318467
10.853693,-0.027688,0.0,-0.033261,-0.016584,1.55606841826182,0.0,-0.209613,0.0,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.7707579358796,6.99999953831504,300.0,0.0,300.0,0.0,144.006877,-2.1094906942861633,300.0,0.0,300.0,0.0,-0.202355,0.0,0.0
10.853456,-0.025716,0.0,-0.036287,0.01048,1.552844515880706,0.0,-0.194378,0.0,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.7091907667648,6.99999953831504,300.0,0.0,300.0,0.0,143.619652,-1.996784576615795,300.0,0.0,300.0,0.0,-0.194124,0.0,0.0
9.575603,-0.023305,0.0,-0.028702,-2.610656,1.5497497329576548,0.0,-0.197147,0.0,40.066452,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.6471787543276,6.99999953831504,300.0,0.0,300.0,0.0,143.265257,-1.6645190817540927,300.0,0.0,300.0,0.0,-0.199312,58.709595,0.0
5.474732,-0.015803,0.0,2.5E-4,-5.545637,1.5473549317844084,0.0,-0.208698,0.0,104.419006,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.598959658398,6.99999953831504,300.0,0.0,300.0,0.0,143.011154,-0.9099229778959432,300.0,0.0,300.0,0.0,-0.212974,111.269798,0.0
0.538005,-0.001311,0.0,0.016144,-4.288834,1.5463917194768177,0.0,-0.220037,0.0,113.515961,0.05000000000000071,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.580208608991,6.99999953831504,300.0,0.0,300.0,0.0,142.914334,-0.08781770405266792,300.0,0.0,300.0,0.0,-0.225455,113.291344,0.0
-0.013759,-2.8E-5,0.0,-1.44E-4,-2.24E-4,1.5463675292133852,0.0,-0.24167,0.0,113.066734,0.4671000000000003,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.5800561692,6.99999953831504,300.0,0.0,300.0,0.0,142.912747,0.0022452790874286283,300.0,0.0,300.0,0.0,-0.242546,113.066734,0.0
-0.003055,3.7E-5,0.0,5.78E-4,0.014363,1.5463666914553442,0.0,-0.258619,0.0,97.231285,0.8841999999999999,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.580096447113,6.99999953831504,300.0,0.0,300.0,0.0,142.912969,4.985637565438038E-4,300.0,0.0,300.0,0.0,-0.25881,97.231285,0.0
0.156615,-6.4E-4,0.0,-0.001412,0.280453,1.5463418903266735,0.0,-0.263347,0.0,0.0,1.3012999999999995,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.5797609694662,6.99999953831504,300.0,0.0,300.0,0.0,142.911616,-0.025554183166837004,300.0,0.0,300.0,0.0,-0.271149,0.0,0.0
1.820701,-0.022616,0.0,-0.070727,2.902677,1.5457321420991967,0.0,-0.673411,11.985674,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.5742549784964,6.99999953831504,300.0,0.0,300.0,0.0,142.890411,-0.29663336318869343,300.0,0.0,300.0,0.0,-0.949719,0.0,14.702164
5.181768,-0.225393,0.0,-0.512127,3.917848,1.5353012167312374,0.0,-2.763259,22.375051,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.5328341985276,6.99999953831504,300.0,0.0,300.0,0.0,142.773416,-0.8761094776671221,300.0,0.0,300.0,0.0,-3.432844,0.0,22.946945
8.421141,-0.630423,1.477481,-1.103306,3.140097,1.486526611974147,-2.0,-5.482406,23.709469,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1199.3693207525628,6.99999953831504,300.0,0.0,300.0,0.0,142.464355,-1.756598655822331,300.0,0.0,300.0,0.0,-6.014773,0.0,23.995417
11.063141,-1.294494,-0.300699,-2.518474,2.409564,1.3719692212591585,-2.0,-9.450128,24.32902,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1198.9285612609206,6.99999953831504,300.0,0.0,300.0,0.0,141.840668,-3.403780637292267,300.0,0.0,300.0,0.0,-9.96463,0.0,24.32902
13.270252,-1.807337,1.223123,-3.663291,1.825375,1.171121356062169,-1.0,-12.022114,23.995417,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1197.9639355084976,6.99999953831504,300.0,0.0,300.0,0.0,140.692727,-6.35892936697359,300.0,0.0,300.0,0.0,-12.066474,0.0,23.995417
15.244803,-1.918044,-0.874987,-4.422793,1.510672,0.914920809970492,-1.0,-12.06428,23.709469,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1196.2995366233008,6.99999953831504,300.0,0.0,300.0,0.0,138.873047,-10.302247896614656,300.0,0.0,300.0,0.0,-12.077304,0.0,23.709469
16.970806,-1.898648,-0.91831,-5.176303,1.366533,0.6319446616784872,1.0,-11.998384,20.325773,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1193.886029565985,6.99999953831504,300.0,0.0,300.0,0.0,136.350621,-14.39999378342856,300.0,0.0,300.0,0.0,-11.887355,0.0,20.230455
18.414618,-1.616098,0.287363,-4.884405,1.059505,0.3451630149387264,1.0,-10.40364,20.230455,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1190.8079894669163,6.99999953831504,300.0,0.0,133.214335,-17.705649347242428,300.0,0.0,300.0,0.0,300.0,0.0,-9.677385,0.0,20.230455
19.81091,-0.963405,0.81015,-2.932273,1.292454,0.12359332677170608,1.0,-5.745241,20.230455,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1187.2828331104868,6.99999953831504,300.0,0.0,129.673884,-19.77606813305087,300.0,0.0,300.0,0.0,300.0,0.0,-5.219727,0.0,20.230455
